ID_REGIONE,RESIDENTI,NOME_REGIONE,INQUINAMENTO_ARIA
13,1311580,Abruzzo,35
17,562869,Basilicata,50
18,1947131,Calabria,68
15,5801692,Campania,62
8,4459477,Emilia-Romagna,75
6,1215220,Friuli Venezia Giulia,52
12,5879082,Lazio,61
7,1550640,Liguria,94
3,10060574,Lombardia,189
11,1525271,Marche,29
14,305617,Molise,37
21,531178,P.A. Bolzano ,14
22,541098,P.A. Trento,20
1,4356406,Piemonte,104
16,4029053,Puglia,71
20,1639591,Sardegna,43
19,4999891,Sicilia,52
9,3729641,Toscana,121
10,882015,Umbria,57
2,125666,Valle d'Aosta,23
5,4905854,Veneto,226
